hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;1277605,6152624781;57086,65181775438;5041,420543135332;3100,568682965492;15156,370228840593;1421,3756859458888;15145,785281172444
2;1062622,1163284716;28386,329626507944;3875,177947359253;3583,613337968105;16509,669515008216;2950,9321851984414;6259,978945809213
3;1120751,6920730139;30238,535767788067;3766,007400950258;3666,185073865987;11932,6676922365;2973,9706917359727;6972,83499086254
4;618433,6268460153;17151,72491609983;3674,906462222753;3635,2206729042805;11807,497259993861;2045,4187108537742;3711,1135585933644
5;483540,8120814624;19528,230012341595;3615,427336937853;3686,828007840458;10167,569442973507;1532,5615218444048;4791,133874297833
6;654339,5372739079;15302,964529478506;3886,4714521601823;3430,855626557022;11609,830265188279;1560,608399368355;3772,3389351863575
7;401533,3608276432;16678,539520255552;4259,910010910949;3261,583567966363;9352,979166022353;1325,2149630066322;4211,185733895898
8;371758,8458790714;18584,79539319053;4667,981984384567;3373,055411428504;6842,474057781386;1566,618444552058;4615,177285521521
9;368474,4540349351;14310,164586024692;5574,473969739248;4485,709552652472;12319,666920134843;2031,395272091799;3481,7509469843008
10;1096635,7370501473;34848,87475568833;6404,170122447601;7010,340377730232;16071,736031308643;3352,6035383092967;8440,360171353052
11;1293189,8045301079;35776,856712393346;6873,979922166307;10587,760835505995;21420,66696445248;6376,657939909464;7063,06631033321
12;2572910,563912048;55563,9166483471;7766,91970175987;16268,696265280318;19884,362533970972;11452,14109754711;9293,931838209683
13;1980974,0266488302;68840,23626669968;8653,083378472875;20754,405817932788;34917,13707867434;15707,253087609228;9804,365231089492
14;2055230,3605618507;80964,36793532288;8955,74930713781;24416,46230500388;40005,05681776344;18643,1601598484;10960,773840336225
15;2901261,14048125;79341,16252528054;9492,567235342036;25056,393258212476;37243,2869961363;20360,029733993055;9458,957379482254
16;2628415,1668592906;79310,80091184776;9503,107839822904;23619,645053589316;42245,91249842457;19438,48947249184;10056,990157333574
17;4281171,479208828;163912,3348630231;10181,47102819879;24185,261444489817;42317,13900208848;18228,467042172866;34282,33907729999
18;4132630,750924349;136782,51468610304;10426,916532539011;22201,47548954318;36942,159643941515;16639,811765280556;28284,30841255335
19;4779295,753399614;131163,35628377117;10756,686872726179;20242,461055365922;22833,00262183545;13954,323242362352;28082,54764532499
20;2753556,2843485563;99390,58272567831;10768,73327784717;17728,151697275396;31469,24834988803;11239,786167722918;20987,44989018328
21;2359290,664867196;67988,37058341538;11155,724042359052;16351,268001178205;33109,81364167835;8829,758049057797;13955,461369375891
22;1346630,8634018512;35211,19832626187;13318,053761577195;15407,885918544893;24722,171000855997;6518,895675923783;6327,511917365317
