hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;379529,83286668855;18327,32923331173;4451,384124666051;1658,042585146493;6114,015435858219;506,5229475734288;5174,450384522113
2;315666,10962940735;9113,26189616399;3421,6359154205747;1916,3528147898212;6659,930625315668;1051,5973245604798;2138,677517336053
3;332934,27744534565;9707,90163554778;3325,242441992172;1960,508409600646;4813,5875120333185;1059,8073511948628;2382,21974165508
4;183713,9788930775;5506,4590310898875;3244,8037503726096;1943,9500615465865;4763,094290814146;728,9075820612695;1267,8756910768882
5;143642,26440551245;6269,421824257592;3192,285926918515;1971,5473083033528;4101,554368288598;546,1452500263186;1636,8569907679446
6;194380,30973949033;4912,925530696791;3431,607654051098;1834,664964389794;4683,356263888586;556,1400650594801;1288,792907818891
7;119280,85436130974;5354,5456807375385;3761,3398114337692;1744,145995027602;3772,952107194296;472,25501031687537;1438,7218117464852
8;110435,93653446023;5966,537764241514;4121,651967283381;1803,7560480222164;2760,2249995931274;558,2818111380144;1576,742667109561
9;109460,26401644478;4594,193027613953;4922,050188026799;2398,752688098088;4969,701358377167;723,910174544689;1189,5155775665737
10;325770,31051383785;11188,023482212864;5654,640586082651;3748,8099994390736;6483,27011631574;1194,7373541425413;2883,58933679417
11;384159,3246890857;11485,946557074587;6069,464913112463;5661,851144618082;8641,006157122565;2272,392589325192;2413,046633563506
12;764317,4894013444;17838,46418524474;6857,897047499251;8699,756067602868;8021,267469011894;4081,097152647647;3175,20605773593
13;588474,8253026581;22100,747449448172;7640,346138707725;11098,508755700956;14085,424930354386;5597,453376250133;3349,5920150849433
14;610533,6622885236;25993,127641375493;7907,588734005777;13056,809385561059;16137,87016305296;6643,696335614274;3744,670834815723
15;861858,4190577841;25472,007221524793;8381,578710243366;13399,01524534496;15023,78393628708;7255,521798715654;3231,5858663520803
16;780805,8739452482;25462,259806538652;8390,885666298522;12630,707895636597;17041,821835797284;6927,12073334035;3435,8995338088816
17;1271779,238105451;52623,07791365642;8989,854766705348;12933,173720090754;17070,554305133162;6495,91585619539;11712,318597396648
18;1227653,2283993007;43913,21088536593;9206,573886275411;11872,335554760668;14902,310440213816;5929,7809761027465;9663,133856995315
19;1419753,7149487059;42109,213579963674;9497,74865428672;10824,74406787384;9210,73636821368;4972,777436677544;9594,203718333963
20;817980,7163520692;31908,754048484774;9508,385175492613;9480,206205884208;12694,561247913603;4005,422124539426;7170,213768274867
