hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;430488,88724858273;20860,657593903084;5104,0618668305715;1782,8534469484232;6238,147201417626;521,8055730919043;7353,544848052622
2;358050,25193944323;10372,959068902399;3923,328319679951;2060,608244941719;6795,146009656215;1083,3257352563426;3039,329758827122
3;377636,99770790094;11049,793965962384;3812,8012929938045;2108,0876975901456;4911,3169212590465;1091,7834718180861;3385,433892762083
4;208381,05333730145;6267,599328855668;3720,568394862607;2090,2829028469855;4859,798545169973;750,8999156121696;1801,8108326978709
5;162928,9536970761;7136,024039436556;3660,350221702569;2119,9575607522524;4184,827495518131;562,623345194231;2326,179670688288
6;220479,54072738325;5592,023582679488;3934,762150026793;1972,7712575421297;4778,4416112971985;572,919720138962;1831,5368286932817
7;135296,56384639742;6094,6874798186045;4312,840806829058;1875,438379612855;3849,553681290808;486,5037161385408;2044,6046595007383
8;125264,04860424766;6791,273280271803;4725,983210028307;1939,535640688231;2816,2653557445365;575,126086198547;2240,749655482315
9;124157,37360737855;5229,233700628719;5643,738659201546;2579,3212651257804;5070,600319197624;745,7517281398042;1690,4512551241442
10;369511,1327941045;12734,508342371091;6483,744062016254;4031,005529851427;6614,89879383213;1230,7845335719553;4097,943150621317
11;435739,9758602391;13073,612375200764;6959,391404444911;6088,052815844513;8816,442964854923;2340,9543892199176;3429,242783625691
12;866941,5603821275;20304,21828692449;7863,426257201938;9354,63915805627;8184,121832629133;4204,230526539635;4512,367191153562
13;667488,6946432196;25155,663394439747;8760,60081175086;11933,960423182052;14371,398801961717;5766,337696725973;4760,191571124884
14;692509,3474765341;29586,074905872723;9067,027465046243;14039,674148139773;16465,514464367523;6844,147516833349;5321,648267684611
15;977579,2036783854;28992,921669778872;9610,515534199498;14407,639906165085;15328,809143527596;7474,432754521529;4592,489990750525
16;885643,8222338991;28981,82690065768;9621,187109189887;13581,497430082458;17387,818906792483;7136,123292051794;4882,845411146049
17;1442539,6414889279;59896,99840710004;10307,979185356902;13906,731680724186;17417,134726331667;6691,908258721971;16644,677923332976
18;1392488,880857963;49983,1941941355;10556,474431561617;12766,037830845728;15204,869392716437;6108,692163638278;13732,528657092022
19;1610382,4890360916;47929,83608563818;10890,342277689422;11639,587816761808;9397,740306866333;5122,814262680282;13634,570259897815
20;927810,0899564549;36319,39951423188;10902,538363392721;10193,838483617215;12952,296662100425;4126,272259100959;10189,775647061919
