hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;674155,9723932826;38966,35280990977;1064,2871851622403;399,15824254196895;8353,77853201645;878,4306727655542;10194,2785546353
2;560715,3236978009;19376,01348098144;818,0833545445118;461,3440140165499;9099,680245519594;1823,718648320876;4213,447367371586
3;591388,6396199606;20640,297086336566;795,0365143640271;471,9740604224611;6576,961481675083;1837,9567776186968;4693,254320772863
4;326329,75159664237;11707,46826268426;775,8043235927261;467,98779302024434;6507,9709480628835;1264,098262006527;2497,8648952070725
5;255150,66814546232;13329,62918973139;763,2477692874967;474,63157202393904;5604,087393818958;947,1451228550374;3224,8016461620023
6;345276,2744281101;10445,536669357447;820,4675104252514;441,67842816561404;6399,022283391645;964,4784976523848;2539,0742832985093
7;211877,67968716178;11384,480164909171;899,3035982150471;419,8868330334959;5155,107416077648;819,0019591746498;2834,4519362760852
8;196166,51903014714;12685,657174341799;985,4510973724448;434,23739568147613;3771,385366464896;968,1927922518157;3106,3693267933327
9;194433,43931372048;9767,868744642192;1176,8193427331585;577,4772710011307;6790,264917333599;1255,4315746078535;2343,4862143163564
10;578663,3393282165;23787,23406469219;1351,975328104841;902,4909398618684;8858,303235104582;2071,957337382883;5681,011653795322
11;682379,3037125655;24420,658362225662;1451,1562127436164;1363,0377003979747;11806,488303420496;3940,8665699968424;4753,986939647351
12;1357651,3772121468;37926,960343232844;1639,6634710474418;2094,384893124671;10959,71913796577;7077,588359216759;6255,531044948825
13;1045303,3825676393;46989,14454554685;1826,7402358228237;2671,862164125802;19245,375094642204;9707,308935614277;6599,091982464081
14;1084486,3279127947;55264,86535015079;1890,63561342665;3143,304722227967;22049,697900649335;11521,74184743657;7377,443930995536
15;1530912,5930275046;54156,893649645615;2003,9624896244811;3225,687581873781;20527,48558345625;12582,792004674176;6366,60592849767
16;1386939,570004344;54136,169341891924;2006,1877017798383;3040,7247744109236;23284,79652887057;12013,266832761343;6769,127990512982
17;2259051,844379585;111883,7007740259;2149,395998349608;3113,540592291417;23324,054638050686;11265,455520075799;23074,651302028848
18;2180671,1469872547;93365,35872695394;2201,2116528243528;2858,153727389397;20361,51238722349;10283,643647626064;19037,51527768014
19;2521897,788721178;89529,81921240955;2270,8290045419544;2605,9558764091526;12584,929257059677;8623,973010780082;18901,714761276442
20;1452972,961482532;67842,27817100327;2273,3721041480767;2282,270963349154;17344,99272020611;6946,349950036847;14126,168195315668
21;1244930,2612098893;46407,67588860966;2355,06917899476;2105,0149395305834;18249,22763318353;5456,917815664807;9393,09899861839
22;710578,6232670628;24034,549814219536;2811,555558293738;1983,5666593430465;13626,187421761651;4028,7715421833877;4258,90225207281
23;670116,227102899;28133,52559901836;4980,97846604156;2039,3744029740806;9975,220312021653;2916,340309653647;6217,813189052351
24;250803,80387069564;12640,163950341333;6562,945364775101;2012,5335357991548;6971,137476334133;2096,719301379092;2540,0232959832133
25;238020,40917866444;20664,10396627959;7776,957539247796;2143,5488577520114;3756,2383809633193;1582,9085484577322;2979,190280992834
26;220233,1515936755;30296,42568436901;8716,632843710038;2556,526160621665;2879,8184008476987;1390,3842783871987;4263,213655179991
27;691422,1499900278;18669,42815583422;9342,235346816158;3086,168222796195;3426,025714914718;1382,3366400884304;2941,212805940239
28;912928,8351420342;57764,722947275855;11594,46793548834;4226,772202150477;4876,410547055531;1671,4325697441839;7464,431118664199
29;1999277,8990749025;56178,19301244938;15226,808891658098;6161,972150346625;11339,287240840504;2848,24490866407;6795,8241124008155
30;2750509,03235031;165378,67397175843;19830,61389736662;9795,056260726957;14526,780881241191;5405,536740372669;18736,750677915712
31;2885703,5180797097;208689,01583746533;22557,611393756793;13588,388320676402;18874,460366382435;8635,73494367828;21901,892638105393
32;3911857,5916370386;337155,7625224198;23307,66683383753;16672,962036511708;31341,871056424454;10571,501479082008;36214,33409188275
33;3721846,316341911;268620,17297797435;24645,17828293255;18468,90837679042;36791,98164300258;10770,835289251503;28560,014262344434
34;3995184,2278523897;244225,7832039835;26622,438226692742;17199,149333604313;22826,037425497914;10931,16900612696;26979,848767210042
35;3596691,9003721853;271303,50505263224;28217,12062345689;17323,786627713624;28171,753477414135;12601,98252677124;30505,795941732555
36;3590314,1334837945;284186,22784540243;29259,95040569248;17549,143611518946;23876,497821004315;14187,367271628593;31639,056087441422
37;4162087,6525046304;274753,5519085991;29948,176736599362;16979,904626482396;31129,88104469244;14886,892754521528;30273,245316879907
38;4168045,056015945;329456,8588564727;30735,107120968874;16634,95962061057;34380,04474183076;15289,893718559853;36706,61925156842
39;5091706,327952236;301950,7588010819;31921,145199774222;15857,371726018167;23472,15450292215;15531,3228675229;34119,865196934625
40;4841029,7286501285;380907,6336221698;32374,45270456554;14010,666914151225;34610,06864792238;15614,89449601011;43182,7236175104
41;5926559,308422716;473254,3937739592;31572,422666284685;11742,480762289904;22111,910120393415;16062,466995241602;54288,11516153438
42;5181693,489371154;402348,11871472624;29147,577191846944;9391,380248462478;25511,56442987954;14108,128986840722;46572,36676242681
43;4091574,3693502177;303762,93713499483;25708,670749467867;7691,635828157258;21131,669895783336;11621,408752521316;35206,090065449054
44;2219219,8083310532;250790,1038818526;23090,07287378868;6515,155442183028;20549,846559821035;9370,546225265816;29304,829280702957
45;1194867,3113731125;156646,88690685766;20905,868199580265;5806,397098068894;16653,35157062924;7709,637490220022;18281,476919876925
46;1264594,1469474102;161710,9719408285;19242,045282274663;5527,624131073869;17494,09321074246;5737,3470579218865;18881,48902263246
47;714224,8567830747;102883,35358791465;17512,10177520987;5475,536903684905;11036,913191688507;4595,201468596695;11814,823063394071
48;437342,80518327304;73207,66253730605;15800,754684014857;4815,676773037961;7963,217639536086;3320,5793718917776;8548,938560135606
49;230104,00718477802;27632,402212086534;15537,702818506568;4487,47409025545;4014,4082421779626;2570,910911906516;3464,8270698857755
50;206169,8169439507;36520,373289741365;16110,694948511029;4699,809267213528;3129,6026241520217;2136,957492872934;4724,124811218069
51;618484,509445763;24182,741768148393;16849,942215265743;5386,24451387525;3509,0583803250533;2054,6239625855355;3474,398888784841
52;808439,8571224653;61587,53945457356;18539,19612863257;6276,7766515304675;4767,290390085649;2158,6242113696176;7759,870731750505
53;1767587,963270759;57993,69858535738;22690,32940445131;8457,530671703167;10745,118431878162;3001,769085440572;7316,330383524975
54;2453098,9695634884;165576,87281721458;29474,52443495906;12222,693108676951;13882,139769150348;5522,537020254765;19204,00173981401
55;2617674,2656867662;211242,10685597057;34266,836698971405;16555,234272566246;18257,618316022315;8868,497405242657;22298,136754369214
56;3564627,3512651655;341950,86269742454;35579,55292690673;20379,659218252975;30507,475290825983;11337,88426476471;36400,09333358724
57;3381612,959703948;271325,71656012774;37117,015582533124;22046,450494699864;35543,276628650354;11493,884637940833;28211,31944003226
58;3585743,9858667287;243986,90184247147;39439,18341037368;20036,574470502183;21953,17907416173;11046,931187809245;25625,01088488078
59;3170831,259223345;269132,4852516468;40491,86770358299;19726,974368930027;26581,751345677087;11597,265837625013;28214,553963848623
60;3108457,358377236;279907,32651054795;41617,03033556679;19952,86285505564;22417,12238934476;12350,0295431098;29312,310636740243
61;3618218,884699018;270049,40607753454;42067,95368447736;19712,62380628204;29595,58868689091;12727,64949405201;27965,519583759393
62;3635697,6111808796;326399,5897198153;42570,53374413731;19770,02605687396;32340,290687514604;13074,316989998948;34537,10346620074
63;4480973,816613338;299879,0026363196;43208,85174527405;18528,17088550338;22210,60671230828;13817,17590988525;31131,23357442636
64;4290084,272732328;379667,3344143783;43408,00823317851;16438,835264421512;33061,93905112391;14080,890826444891;40207,4057973086
65;5310987,176654116;473262,28132270375;41728,44988706002;13714,620121746597;21299,741161035014;14465,32031748605;51563,85761339735
66;4675139,34900145;400947,9767641804;37801,90409520698;10940,443760963899;24751,159169425966;13118,269476092222;44181,58826253741
67;3679617,5108417724;301036,9451703623;32815,521542502414;8794,768893930705;20448,184762588102;10746,073325255291;33247,05915464071
68;1962964,2367894845;247641,54522136418;28068,190352773352;7079,876657497067;19200,20049691653;7902,161760290556;27808,611497690763
69;1042823,1826362008;153947,87826584163;24059,788542348244;6194,6595430448015;15073,248946901489;6016,538201979156;17073,090862918765
70;1105195,9432829425;158765,11005469994;21114,08447983154;5669,2694994326375;16249,42811892461;4832,916322960312;17856,3262450347
